Abbeyfeale 52.3872982 -9.2900147
Abbeyleix 52.9125771 -7.3438561
Adare 52.5644444 -8.7905556
Aglish 52.07158889999999 -7.8220438
Ahascragh 53.395673 -8.3306379
Ailt an Chorrain 54.9849195 -8.438641300000002
An Bun Beag 54.9515632 -8.3612804
An Charraig 51.9887905 -8.4783654
An Cheathru Rua 53.2645083 -9.6004914
An Clochan Liath 54.9515632 -8.3612804
An Coirean 51.8310884 -10.1741787
An Craoslach 55.1252794 -7.912558400000001
An Fál Carrach 55.1369751 -8.10202
x An Maim
An Rinn 52.0483775 -7.5930487
An Spideal 53.2454331 -9.3056324
Anglesea Street 51.89575960000001 -8.4649339
Annascaul 52.1524207 -10.0524621
Aran Mor 54.2138454 -9.088503
Ard An Rátha 54.7645271 -8.409486099999999
Ardee 53.8549148 -6.5411367
Ardfert 52.3069461 -9.8519426
Ardfinnan 52.31182949999999 -7.878312999999999
Ardmore 51.9510741 -7.725328999999999
Ardnacrusha 52.7076924 -8.6131465
Ardrahan 53.1566505 -8.8064544
Arklow 52.79628 -6.154620899999999
Arles 52.8909762 -7.0189191
Arva 53.9253807 -7.583754799999999
Ashbourne 53.5113667 -6.3969122
Ashford 53.0139406 -6.1072544
Askeaton 52.6002093 -8.978287
Athea 52.4599236 -9.2874724
Athenry 53.2997508 -8.7496859
Athleague 53.5661139 -8.2536972
Athlone 53.4232306 -7.9447274
Athy 52.9902054 -6.9882316
Aughrim 52.8560301 -6.3268334
Avoca 52.8587879 -6.2128977
Baile Atha Bui 53.6236397 -6.9158675
Baile an Fheirtéaraigh 52.16592860000001 -10.4062024
Baile Bhuirne 51.9457731 -9.169168899999999
Bailieboro 53.9152126 -6.9696275
Balbriggan 53.6147937 -6.1914709
Balla 53.8018693 -9.1298766
Ballaghderreen 53.9016968 -8.5792106
Ballina 54.112854 -9.1604421
Ballinagh 53.9311185 -7.4096031
Ballinamore 54.0545996 -7.796966499999999
Ballinasloe 53.3284318 -8.2236222
Ballincollig 51.8882359 -8.5903245
x Ballindine
Ballineen 51.7359195 -8.948869199999999
Ballingarry 52.5859628 -7.5409595
x Ballingarry North
Ballingarry South 52.5876621 -7.547113100000001
Ballinhassig 51.80426629999999 -8.5705644
Ballinlough 53.7407743 -8.6358198
Ballinrobe 53.62461099999999 -9.226212
Ballintra 54.5777965 -8.1254178
Ballivor 53.5327038 -6.9671527
Ballon 52.7432254 -6.7721773
Ballybay 54.1289448 -6.9048013
Ballybofey 54.7995701 -7.780995799999999
Ballybunion 52.5112581 -9.670240999999999
Ballyconnell 54.1189987 -7.580201799999999
Ballycotton 51.8303302 -8.0130986
Ballycroy 54.0257353 -9.8259758
Ballycullane 52.2788663 -6.8392117
Ballydehob 51.559116 -9.460781599999999
Ballydesmond 52.1782379 -9.2310315
Ballyduff 52.1429169 -8.050853
Ballyfermot 53.3447535 -6.358053099999999
Ballygar 53.5218663 -8.3283876
Ballyhale 52.4675463 -7.200692800000001
Ballyhaunis 53.7639743 -8.7674051
Ballyheigue 52.3891746 -9.8274616
Ballyjamesduff 53.8631104 -7.208764
Ballylanders 52.37070869999999 -8.345472
Ballylinan 52.9429538 -7.0432315
Ballymacarberry 52.2672096 -7.717628599999999
Ballymahon 53.5643632 -7.764596399999999
Ballymore 53.13325 -6.611596
Ballymote 54.0881414 -8.515401800000001
Ballymun 53.39437419999999 -6.2639223
Ballynacargy 53.5863111 -7.5349409
Ballyneety 52.5972713 -8.5489329
Ballynoe 52.0602059 -8.0993107
Ballyporeen 52.2702047 -8.0977488
Ballyshannon 54.4987292 -8.2047171
Ballyvaughan 53.1161543 -9.147112100000001
Baltimore 51.4843274 -9.3661093
Baltinglass 52.94190099999999 -6.709959
Banagher 53.190524 -7.985815999999999
Bandon 51.7450877 -8.739865
Bangor Erris 54.14397899999999 -9.747074399999999
Bansha 52.4492536 -8.0655856
Bantry 51.6802698 -9.4552398
Barnaderg 53.4805814 -8.7221487
Barraduff 52.0597646 -9.340945699999999
Beal an Mhuirthead 54.2217469 -9.985579099999999
Beal Atha an Ghaorthaidh 51.85186419999999 -9.2289851
Belturbet 54.1011661 -7.442612299999999
Bennettsbridge 52.5903024 -7.183360500000001
Birr 53.0960525 -7.9115205
Bishopstown 51.8806588 -8.5146036
Blacklion 54.29147870000001 -7.876189999999999
Blackrock Co Cork 51.8943428 -8.4044364
Blackrock Co Dublin 53.2996856 -6.1773691
Blackrock Co Louth 53.9637875 -6.3682079
Blackwater 52.4473539 -6.346930299999999
Blanchardstown 53.389921 -6.3809703
Blarney 51.9319631 -8.5676617
Blessington 53.1702661 -6.533728
Boherbue 52.1597595 -9.0623436
Bonniconlon 54.1095524 -9.0289595
Borris 52.6018007 -6.9293078
Borris-In-Ossory 52.9393022 -7.628813999999999
Borrisokane 52.99615120000001 -8.127374999999999
Borrisoleigh 52.7514907 -7.955370699999999
Bothar Na Tra 53.25881709999999 -9.0797446
Boyle 53.9733703 -8.3003923
Bray 53.1982465 -6.100628599999999
Bridewell Cork 51.9004337 -8.4767538
Bridewell Dublin 53.3381109 -6.2230348
Bruff 52.4773308 -8.546976299999999
Bruree 52.4231695 -8.6503297
Bunclody 52.6550857 -6.652193
Buncrana 55.1314988 -7.450716
Bundoran 54.4768679 -8.2796509
Burnfoot 55.0546735 -7.401580200000001
Buttevant 52.2293136 -8.6712775
Cabinteely 53.2607896 -6.150646099999999
Cabra 53.3649852 -6.3076357
Caherciveen 51.9469964 -10.220246
Caherconlish 52.5938161 -8.4695371
Cahir 52.3759711 -7.9202998
Callan 52.5423746 -7.391038399999999
Campile 52.2876617 -6.941280799999999
Cappamore 52.6146717 -8.338487200000001
Cappawhite 52.5831585 -8.164835499999999
Cappoquin 52.1458849 -7.8457272
Carbury 53.33846339999999 -6.9366927
Carlingford 54.042666 -6.1873115
Carlow 52.8404161 -6.929526
Carna 53.32421679999999 -9.8361074
Carndonagh 55.2535059 -7.2594669
Carnew 52.7105055 -6.4917628
Carraig Airt 55.1751264 -7.798487699999999
Carrickbyrne 52.362375 -6.7597122
Carrickmacross 53.9760601 -6.7187739
x Carrick-on-Bannow
Carrick-On-Shannon 53.94433739999999 -8.0901479
Carrick-On-Suir 52.34815260000001 -7.4098954
Carrigaline 51.8148402 -8.391505500000001
Carrigallen 53.97559159999999 -7.6467049
Carrigans 54.9511865 -7.426752899999999
Carrigtwohill 51.91055009999999 -8.2599635
Cashel 52.51633589999999 -7.890302499999999
Castlebar 53.8533457 -9.297533900000001
Castlebellingham 53.8992821 -6.389897899999999
Castleblayney 54.1177 -6.74
Castlebridge 52.3844638 -6.452204699999999
Castlecomer 52.7992648 -7.2095378
Castleconnell 52.7134063 -8.4984703
Castledermot 52.9092206 -6.8491773
Castlefin 54.8026993 -7.595234700000001
Castlegregory 52.2541647 -10.0206223
Castleisland 52.2303764 -9.4628032
Castlemaine 52.1684322 -9.7014756
Castlepollard 53.67848310000001 -7.296630599999999
Castlerea 53.7666321 -8.4840587
Castletownbere 51.6494851 -9.914683199999999
Castletownroche 52.1707292 -8.4679538
Cavan 53.99333009999999 -7.3608764
Celbridge 53.343996 -6.5418432
Charlestown 53.9627452 -8.7935119
Charleville 52.3560546 -8.6825688
Cill Ronain 53.1213067 -9.6678178
Clane 53.2936545 -6.685893000000001
Clara 53.3454196 -7.614043100000001
Claremorris 53.7221499 -9.0002442
Clifden 53.4881847 -10.0092381
Cloch na Ron 53.39357589999999 -9.9211058
Cloghan 53.2248333 -7.877419599999999
Clogheen 52.2770794 -7.9951028
Clogher 54.8367756 -8.4275018
Clogherhead 53.7904121 -6.242659600000001
Clonakilty 51.6249493 -8.8889106
Clonark 53.3683963 -8.0346525
Clonaslee 53.1486189 -7.5260395
Clonbologue 53.2591426 -7.085755
Clondalkin 53.3231463 -6.3949525
Clones 52.5909931 -6.4977607
Clonmany 55.2630083 -7.412823
Clonmel 52.3540916 -7.699938899999999
Clonroche 52.4496872 -6.7174157
Clontarf 53.3634107 -6.2202103
Cloughjordan 52.94196609999999 -8.0397391
Cloyne 51.8627583 -8.1235052
Coachford 51.9091335 -8.7911392
Cobh 51.8483207 -8.3034309
Collon 53.777855 -6.4848981
Collooney 54.1854805 -8.4878638
Cong 53.5414688 -9.2865329
Convoy 54.8593239 -7.6689931
Coolaney 54.1723703 -8.6033858
Coolock 53.3903354 -6.201094899999999
Cootehill 54.07468739999999 -7.0786875
Corofin 52.9479926 -9.068588799999999
Corofin 52.9479926 -9.068588799999999
Courtown Harbour 52.644246 -6.2304768
Craughwell 53.2261 -8.7331
Creggs 53.5951306 -8.3608216
Crookstown 51.8586635 -8.8012397
Croom 52.522002 -8.7187995
Crosshaven 51.8483207 -8.3034309
Crossmolina 54.09981330000001 -9.3227002
Crumlin 53.3195692 -6.3149941
Crusheen 52.9386532 -8.8967688
Daingean 53.2929865 -7.2935754
Delvin 53.6144561 -7.0900795
Dingle 52.1392493 -10.2705047
Dolla 52.8 -8.1833333
Donegal Town 54.6524222 -8.111061099999999
Doneraile 52.2157056 -8.5854167
Donnybrook 53.32173160000001 -6.2359087
Douglas 51.8751249 -8.4310133
Dowra 54.1904275 -8.015248
